Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,souillac,-20.5167,57.5167,71.98,78,20,8.05,MU,1624044378
113,cagli,43.5457,12.6527,79.79,61,1,3.04,IT,1624044378
114,tuktoyaktuk,69.4541,-133.0374,57.2,41,75,11.5,CA,1624044093
115,awbari,26.5921,12.7805,93.06,14,0,8.59,LY,1624044379
116,maple creek,49.9168,-109.4848,70.29,32,9,12.66,CA,1624044380
117,naryan-mar,67.6713,53.087,42.42,69,100,5.99,RU,1624044103
118,pau,43.4167,-0.5833,79.81,57,20,4.61,FR,1624044380
119,muros,42.7762,-9.0603,62.1,75,100,14.52,ES,1624044380
120,vila,42.0304,-8.1588,56.34,89,53,4.03,PT,1624044381
121,vung tau,10.346,107.0843,80.91,83,100,11.25,VN,1624044381
122,tasiilaq,65.6145,-37.6368,42.96,69,9,3.67,GL,1624044096
123,walvis bay,-22.9575,14.5053,54.55,94,0,3.44,NA,1624044382
124,te anau,-45.4167,167.7167,32.29,92,95,1.05,NZ,1624044382
125,jose de freitas,-4.7564,-42.5756,79.75,62,68,3.13,BR,1624044383
126,ust-ordynskiy,52.805,104.7508,46.24,79,4,2.1,RU,1624044383
127,hasaki,35.7333,140.8333,68.4,82,100,17.38,JP,1624044383
128,lazaro cardenas,17.9583,-102.2,78.62,86,100,8.77,MX,1624044384
129,korla,41.7597,86.1469,80.13,18,100,4.32,CN,1624044384
130,bluff,-46.6,168.3333,31.8,80,8,11.01,NZ,1624044384
131,port-gentil,-0.7193,8.7815,80.56,83,40,10.36,GA,1624044385
132,hermanus,-34.4187,19.2345,58.89,80,12,11.07,ZA,1624044385
133,lebu,-37.6167,-73.65,54.5,70,0,5.01,CL,1624044385
134,port hedland,-20.3167,118.5667,55.45,76,40,6.91,AU,1624044386
135,kahului,20.8947,-156.47,82.98,67,20,16.11,US,1624044106
136,lagoa,39.05,-27.9833,66.16,66,60,7.94,PT,1624044386
137,whyalla,-33.0333,137.5833,49.89,93,40,4.61,AU,1624044386
138,fortuna,40.5982,-124.1573,66.85,80,75,12.66,US,1624044387
139,chabahar,25.2919,60.643,83.61,82,1,5.86,IR,1624044387
140,phan thiet,10.9333,108.1,78.22,88,100,6.26,VN,1624044174
141,butaritari,3.0707,172.7902,81.79,75,98,8.59,KI,1624044387
142,hamilton,39.1834,-84.5333,88.36,74,1,3.0,US,1624044333
143,narsaq,60.9167,-46.05,55.62,60,100,6.71,GL,1624044112
144,touros,-5.1989,-35.4608,83.3,73,1,15.17,BR,1624044388
145,kuching,1.55,110.3333,75.42,100,40,0.0,MY,1624044389
146,kununurra,-15.7667,128.7333,73.38,27,100,11.5,AU,1624044389
147,gizo,-8.103,156.8419,81.86,77,100,10.13,SB,1624044389
148,sorland,67.667,12.6934,50.07,85,8,25.14,NO,1624044126
149,khani,41.9563,42.9566,62.17,96,33,2.66,GE,1624044390
150,akdepe,42.0551,59.3788,84.29,17,11,9.78,TM,1624044390
151,moron,-34.6534,-58.6198,51.96,67,7,1.01,AR,1624044390
152,mahebourg,-20.4081,57.7,71.89,78,20,8.05,MU,1624044391
153,rawson,-43.3002,-65.1023,45.75,56,6,21.0,AR,1624044391
154,cabo san lucas,22.8909,-109.9124,101.52,51,1,8.05,MX,1624044391
155,rincon,32.296,-81.2354,91.58,51,75,1.99,US,1624044392
156,kailua,21.4022,-157.7394,82.38,65,40,11.5,US,1624044392
157,harper,4.375,-7.7169,79.57,75,65,8.86,LR,1624044392
158,san patricio,28.017,-97.5169,93.18,38,45,8.88,US,1624044393
159,indaiatuba,-23.0903,-47.2181,73.94,38,0,4.61,BR,1624044212
160,adrar,20.5022,-10.0711,95.25,14,5,10.45,MR,1624044393
161,hobart,-42.8794,147.3294,50.02,93,40,8.05,AU,1624044394
162,hambantota,6.1241,81.1185,80.42,75,100,15.35,LK,1624044394
163,araripe,-7.2125,-40.0461,85.62,32,15,9.98,BR,1624044394
164,iwanai,42.9744,140.5089,54.16,96,100,6.2,JP,1624044395
165,gunjur,13.2019,-16.7339,82.47,69,20,11.5,GM,1624044395
166,kruisfontein,-34.0033,24.7314,55.89,90,10,5.46,ZA,1624044395
167,bama,11.5221,13.6856,94.66,31,30,3.53,NG,1624044396
168,baker city,44.7749,-117.8344,83.93,26,1,9.22,US,1624044396
169,east london,-33.0153,27.9116,60.35,86,21,8.84,ZA,1624044319
170,high level,58.5169,-117.136,60.91,72,90,0.0,CA,1624044396
171,new norfolk,-42.7826,147.0587,49.66,86,42,2.71,AU,1624044397
172,talnakh,69.4865,88.3972,42.53,89,100,10.98,RU,1624044101
173,saint-philippe,-21.3585,55.7679,69.39,80,95,10.96,RE,1624044397
174,mar del plata,-38.0023,-57.5575,48.99,67,75,1.01,AR,1624044397
175,abengourou,6.7297,-3.4964,75.38,85,100,3.62,CI,1624044398
176,torbay,47.6666,-52.7314,72.37,43,75,18.41,CA,1624044398
177,kaz,52.9113,87.3105,59.72,75,4,3.02,RU,1624044398
178,ouallam,14.3188,2.0866,92.88,32,64,11.68,NE,1624044399
179,balclutha,-46.2339,169.75,42.6,71,37,2.1,NZ,1624044399
180,pisco,-13.7,-76.2167,69.85,68,20,9.22,PE,1624044301
181,sangar,63.9242,127.4739,61.75,57,100,7.94,RU,1624044131
182,bethel,41.3712,-73.414,85.35,44,1,12.66,US,1624044132
183,sao joao da barra,-21.6403,-41.0511,73.49,67,61,9.01,BR,1624044400
184,cherskiy,68.75,161.3,38.26,69,17,15.37,RU,1624044103
185,boende,-0.2167,20.8667,72.91,92,100,4.21,CD,1624044400
