Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,samarai,-10.6167,150.6667,78.82,85,38,12.48,PG,1624226589
147,coquimbo,-29.9533,-71.3436,56.75,66,0,3.56,CL,1624226590
148,norman wells,65.282,-126.8329,76.68,32,100,8.9,CA,1624226590
149,shieli,44.1667,66.75,66.29,24,0,1.61,KZ,1624226590
150,mindelo,16.8901,-24.9804,74.75,69,40,20.71,CV,1624226591
151,labelle,26.7617,-81.4384,92.23,45,100,13.94,US,1624226591
152,urumqi,43.801,87.6005,56.35,82,0,2.24,CN,1624226591
153,tabuk,17.4189,121.4443,76.35,75,100,1.86,PH,1624226592
154,sao filipe,14.8961,-24.4956,73.15,74,1,12.77,CV,1624226592
155,pochutla,15.7432,-96.4661,87.82,72,97,5.14,MX,1624226592
156,matay,28.419,30.7792,83.95,25,0,11.34,EG,1624226593
157,dhidhdhoo,6.8833,73.1,82.36,74,38,15.84,MV,1624226593
158,adrar,20.5022,-10.0711,91.63,13,80,17.05,MR,1624226593
159,kloulklubed,7.0419,134.2556,82.74,70,94,3.31,PW,1624226593
160,bluff,-46.6,168.3333,42.26,86,11,5.23,NZ,1624226469
161,buraydah,26.326,43.975,86.32,8,0,9.37,SA,1624226594
162,cidreira,-30.1811,-50.2056,59.25,91,70,4.54,BR,1624226594
163,lovozero,68.005,35.0117,49.73,95,100,6.76,RU,1624226595
164,hailar,49.2,119.7,55.96,85,97,6.89,CN,1624226595
165,thompson,55.7435,-97.8558,46.67,50,100,11.14,CA,1624226595
166,ayan,56.45,138.1667,48.09,82,75,11.5,RU,1624226596
167,ugoofaaru,5.6667,73.0,81.88,77,6,14.07,MV,1624226596
168,hearst,49.6835,-83.6665,66.49,51,98,7.96,CA,1624226596
169,bhakkar,31.6253,71.0657,87.94,32,66,5.97,PK,1624226597
170,balkhash,46.844,74.9804,64.31,50,100,22.66,KZ,1624226597
171,hamilton,39.1834,-84.5333,88.95,66,79,1.01,US,1624226470
172,souillac,-20.5167,57.5167,68.36,62,90,17.43,MU,1624226597
173,georgetown,5.4112,100.3354,78.89,87,20,2.3,MY,1624226598
174,kaitangata,-46.2817,169.8464,43.93,81,9,2.64,NZ,1624226598
175,namibe,-15.1961,12.1522,66.45,80,0,3.38,AO,1624226599
176,talaya,61.3833,152.75,53.4,64,100,4.32,RU,1624226599
177,lebu,-37.6167,-73.65,52.93,76,100,17.29,CL,1624226599
178,saldanha,-33.0117,17.9442,66.4,48,36,14.94,ZA,1624226600
179,port alfred,-33.5906,26.891,70.86,38,56,11.68,ZA,1624226600
180,cuenca,-2.8833,-78.9833,57.33,94,75,3.44,EC,1624226600
181,narasannapeta,18.4167,84.05,84.67,63,99,5.44,IN,1624226601
182,inhambane,-23.865,35.3833,66.18,75,32,7.43,MZ,1624226601
183,kankon,15.0167,74.0167,78.75,86,93,10.16,IN,1624226601
184,geraldton,-28.7667,114.6,50.41,87,75,18.41,AU,1624226602
185,naze,28.3667,129.4833,72.52,89,100,14.45,JP,1624226602
186,keffi,8.8486,7.8736,74.28,91,86,4.72,NG,1624226602
187,shadegan,30.6497,48.6647,95.04,9,0,14.63,IR,1624226603
188,flin flon,54.7682,-101.865,48.92,44,100,12.73,CA,1624226417
189,naqadeh,36.9553,45.388,70.11,31,0,3.11,IR,1624226603
190,iqaluit,63.7506,-68.5145,38.7,73,100,18.99,CA,1624226604
191,palmas bellas,9.2319,-80.0867,86.25,80,99,7.14,PA,1624226604
192,cockburn town,21.4612,-71.1419,80.83,87,67,19.42,TC,1624226605
193,mumford,5.2618,-0.759,76.8,87,100,10.45,GH,1624226605
194,borazjan,29.2666,51.2159,94.19,16,0,1.77,IR,1624226605
195,ankara,39.9199,32.8543,65.32,83,55,5.01,TR,1624226606
196,hinesville,31.8469,-81.5959,84.09,77,73,11.72,US,1624226606
197,luderitz,-26.6481,15.1594,69.58,35,0,5.08,NA,1624226606
198,tilichiki,60.4667,166.1,52.61,61,100,6.44,RU,1624226606
199,christchurch,-43.5333,172.6333,50.0,94,90,1.99,NZ,1624226405
200,panguna,-6.3164,155.4848,73.36,86,43,3.44,PG,1624226607
201,lasa,46.6166,10.7002,71.51,79,87,4.47,IT,1624226608
202,rognan,67.0953,15.3878,53.89,77,77,5.03,NO,1624226608
203,guerrero negro,27.9769,-114.0611,74.64,58,10,13.24,MX,1624226608
204,hami,42.8,93.45,73.13,41,20,16.24,CN,1624226609
205,laguna,38.421,-121.4238,110.21,17,1,7.0,US,1624226609
206,gore,-46.1028,168.9436,38.35,94,63,1.3,NZ,1624226609
207,anloga,5.7947,0.8973,77.16,91,100,15.03,GH,1624226610
208,harrisonburg,38.4496,-78.8689,85.68,46,99,7.38,US,1624226372
209,arraial do cabo,-22.9661,-42.0278,72.14,79,72,13.09,BR,1624226610
210,shimoga,13.9167,75.5667,70.83,92,98,6.22,IN,1624226610
211,wanning,18.8003,110.3967,81.21,88,36,8.1,CN,1624226611
212,vao,-22.6667,167.4833,71.4,64,100,17.4,NC,1624226611
213,makungu,-8.7333,35.2833,53.82,83,7,1.72,TZ,1624226611
214,aitape,-3.1374,142.3475,78.71,86,92,8.95,PG,1624226612
215,salalah,17.0151,54.0924,80.91,88,88,9.84,OM,1624226612
216,tara,56.8944,74.371,48.56,98,100,6.62,RU,1624226612
217,drimmelen,51.7067,4.8042,68.18,82,90,10.36,NL,1624226613
218,bubaque,11.2833,-15.8333,79.02,78,49,17.67,GW,1624226613
219,cibitung,-7.119,107.1309,64.31,87,100,1.77,ID,1624226613
220,yei,4.095,30.6779,66.7,94,43,3.2,SS,1624226614
221,umm kaddadah,13.6017,26.6876,86.34,39,46,14.54,SD,1624226614
222,saint george,37.1041,-113.5841,111.67,10,1,8.99,US,1624226417
223,arlit,18.7369,7.3853,93.49,11,5,6.85,NE,1624226614
224,tasiilaq,65.6145,-37.6368,41.16,63,100,6.55,GL,1624226615
225,starobaltachevo,56.0013,55.9213,50.41,67,0,3.83,RU,1624226615
226,caravelas,-17.7125,-39.2481,72.72,74,57,7.65,BR,1624226615
227,zelenoborskiy,66.845,32.3622,53.89,96,100,4.0,RU,1624226616
228,longyearbyen,78.2186,15.6401,40.84,75,75,23.02,SJ,1624226616
229,nushki,29.5542,66.0215,79.18,12,6,4.0,PK,1624226549
230,lompoc,34.6391,-120.4579,94.01,67,1,14.97,US,1624226617
231,huambo,-12.7761,15.7392,53.19,41,4,1.68,AO,1624226617
232,zakamensk,50.3741,103.2863,52.2,93,3,1.14,RU,1624226618
233,hualmay,-11.0964,-77.6139,66.04,82,100,11.01,PE,1624226618
234,fortuna,40.5982,-124.1573,89.42,65,20,5.01,US,1624226619
235,kapaa,22.0752,-159.319,83.19,77,70,3.0,US,1624226619
236,lipin bor,60.2622,37.9763,63.7,78,28,5.73,RU,1624226619
237,yoichi,43.2039,140.7703,58.23,94,99,0.81,JP,1624226620
238,ketchikan,55.3422,-131.6461,63.52,72,99,6.04,US,1624226590
239,duyun,26.2667,107.5167,66.7,97,97,2.75,CN,1624226620
240,yanam,16.7333,82.2167,82.71,77,100,3.98,IN,1624226621
241,westport,41.1415,-73.3579,88.05,73,1,1.01,US,1624226621
242,prince albert,53.2001,-105.7677,60.04,37,95,9.57,CA,1624226544
243,bryant,34.5959,-92.4891,95.68,59,1,4.0,US,1624226621
244,narsaq,60.9167,-46.05,46.62,95,100,0.96,GL,1624226622
245,ovalle,-30.5983,-71.2003,59.27,46,62,3.78,CL,1624226622
246,mujiayingzi,42.1167,118.7833,64.38,52,98,2.62,CN,1624226622
247,kahului,20.8947,-156.47,79.84,79,75,11.01,US,1624226466
248,te anau,-45.4167,167.7167,39.24,94,64,1.01,NZ,1624226623
249,merauke,-8.4667,140.3333,77.56,82,98,13.33,ID,1624226623
250,isangel,-19.55,169.2667,77.11,94,75,0.0,VU,1624226623
251,nishihara,26.1842,127.7558,79.88,94,75,5.75,JP,1624226624
252,kruisfontein,-34.0033,24.7314,70.88,32,8,8.99,ZA,1624226624
253,clyde river,70.4692,-68.5914,36.63,89,68,6.08,CA,1624226625
254,mitsamiouli,-11.3847,43.2844,77.31,72,60,13.73,KM,1624226625
255,the valley,18.217,-63.0578,83.82,79,13,22.91,AI,1624226417
256,tabory,58.5198,64.5495,48.34,69,97,14.83,RU,1624226625
257,catuday,16.2923,119.8062,81.57,80,100,12.62,PH,1624226626
258,faanui,-16.4833,-151.75,80.13,72,14,4.0,PF,1624226626
259,san patricio,28.017,-97.5169,93.29,64,89,18.95,US,1624226626
260,los angeles,34.0522,-118.2437,106.12,58,1,0.0,US,1624226612
261,shubarshi,48.5872,57.1869,73.24,60,15,8.72,KZ,1624226627
262,perelyub,51.8667,50.3667,69.67,80,0,6.06,RU,1624226627
263,luwuk,-0.9516,122.7875,76.24,84,89,2.66,ID,1624226627
264,vila velha,-20.3297,-40.2925,62.94,73,0,11.79,BR,1624226628
265,klaksvik,62.2266,-6.589,47.32,79,44,5.21,FO,1624226628
266,elizabeth city,36.2946,-76.2511,81.01,97,100,11.41,US,1624226529
267,safaga,26.7292,33.9365,85.01,34,0,11.92,EG,1624226629
268,ati,13.2154,18.3353,93.2,30,14,3.69,TD,1624226629
269,touros,-5.1989,-35.4608,77.43,80,52,10.6,BR,1624226629
270,barcelona,41.3888,2.159,76.69,69,0,1.01,ES,1624226625
271,leningradskiy,69.3833,178.4167,44.91,77,22,10.65,RU,1624226630
272,kodiak,57.79,-152.4072,51.31,87,90,9.22,US,1624226630
273,plettenberg bay,-34.0527,23.3716,74.64,35,6,9.95,ZA,1624226630
274,dongsheng,39.8161,109.9776,63.32,45,25,10.87,CN,1624226631
275,atasu,48.6814,71.6433,57.94,85,93,9.53,KZ,1624226631
276,wanaka,-44.7,169.15,42.01,89,85,1.95,NZ,1624226631
277,najran,17.4924,44.1277,78.85,12,32,3.38,SA,1624226632
278,heihe,50.2441,127.4902,59.58,76,91,4.05,CN,1624226632
279,hasaki,35.7333,140.8333,66.29,75,100,7.36,JP,1624226633
280,itarema,-2.9248,-39.9167,79.32,74,19,15.52,BR,1624226633
281,lorengau,-2.0226,147.2712,81.07,81,97,8.9,PG,1624226633
282,upernavik,72.7868,-56.1549,36.18,74,34,9.6,GL,1624226633
283,sasaram,24.951,84.0149,84.24,70,100,2.01,IN,1624226634
284,thayetmyo,19.3167,95.1833,75.88,94,99,5.75,MM,1624226634
